id,trilha,curso,aula,tipo,prioridade,status,ordem_sugerida,observacoes
35,MikroTik Inicial,Curso de Redes Grátis 2.0,05 - Como e Porque Atualizar o Roteador,aula,2,nao_iniciado,29,
36,MikroTik Inicial,Curso de Redes Grátis 2.0,06 - Segurança Básica (IP Services),aula,2,nao_iniciado,30,
37,MikroTik Inicial,Curso de Redes Grátis 2.0,07 - Segurança Avançada (Firewall),aula,2,nao_iniciado,31,
38,MikroTik Inicial,Curso de Redes Grátis 2.0,08 - O que é e Como Configurar Bridge,aula,2,nao_iniciado,32,
39,MikroTik Inicial,Curso de Redes Grátis 2.0,09 - Ativando o Link 2 (DHCP) + Rotas,aula,2,nao_iniciado,33,
40,MikroTik Inicial,Curso de Redes Grátis 2.0,10 - Ativando o Link 3 (Config. Estática),aula,2,nao_iniciado,34,
41,MikroTik Inicial,Curso de Redes Grátis 2.0,11 - Script de Failover de Links,aula,3,nao_iniciado,69,
42,MikroTik Inicial,Curso de Redes Grátis 2.0,12 - Como Fazer Backup,aula,2,nao_iniciado,35,
43,MikroTik Inicial,Curso de MikroTik Grátis,APOSTILA DO CURSO,material,2,nao_iniciado,36,
44,MikroTik Inicial,Curso de MikroTik Grátis,01 - APRESENTAÇÃO INICIAL,aula,2,nao_iniciado,37,
45,MikroTik Inicial,Curso de MikroTik Grátis,02 - O QUE SÃO ROUTERBOARDS,aula,2,nao_iniciado,38,
46,MikroTik Inicial,Curso de MikroTik Grátis,03 - CONHECENDO ALGUNS MODELOS DE ROUTERBOARDS,aula,2,nao_iniciado,39,
47,MikroTik Inicial,Curso de MikroTik Grátis,04 - CONHECENDO O ROUTEROS,aula,2,nao_iniciado,40,
48,MikroTik Inicial,Curso de MikroTik Grátis,05 - PRIMEIRO ACESSO AO ROTEADOR,aula,2,nao_iniciado,41,
49,MikroTik Inicial,Curso de MikroTik Grátis,06 - RESETANDO O ROTEADOR,aula,2,nao_iniciado,42,
50,MikroTik Inicial,Curso de MikroTik Grátis,DOWNLOAD DO LABORATÓRIO,download,2,nao_iniciado,43,
51,MikroTik Inicial,Curso de MikroTik Grátis,07 - TOPOLOGIA E IDENTIFICAÇÃO,aula,2,nao_iniciado,44,
52,MikroTik Inicial,Curso de MikroTik Grátis,08 - LAB 1,aula,2,nao_iniciado,45,
53,MikroTik Inicial,Curso de MikroTik Grátis,09 - LAB 2,aula,2,nao_iniciado,46,
54,MikroTik Inicial,Curso de MikroTik Grátis,10 - LAB 3,aula,2,nao_iniciado,47,
55,MikroTik Inicial,Curso de MikroTik Grátis,11 - LAB 4,aula,2,nao_iniciado,48,
56,MikroTik Inicial,Curso de MikroTik Grátis,12 - CONCLUSÃO LAB 4,aula,2,nao_iniciado,49,
57,MikroTik Inicial,Curso de MikroTik Grátis,PROVA,simulado,2,nao_iniciado,50,
58,MikroTik Pratico,Curso MikroTik do Zero,FORMULÁRIO DE CHECKIN OBRIGATÓRIO PARA A EMISSÃO DE CERTIFICADO AO FINAL DO CURSO!,formulario,2,nao_iniciado,51,
59,MikroTik Pratico,Curso MikroTik do Zero,APOSTILA - AULA 1,material,2,nao_iniciado,52,
60,MikroTik Pratico,Curso MikroTik do Zero,1 - CONFIGURAÇÃO INICIAL FIREWALL E NAT,aula,2,nao_iniciado,53,
61,MikroTik Pratico,Curso MikroTik do Zero,APOSTILA - AULA 2,material,3,nao_iniciado,70,
62,MikroTik Pratico,Curso MikroTik do Zero,2 - FAILOVER E LOADBALANCE,aula,3,nao_iniciado,71,
63,MikroTik Pratico,Curso MikroTik do Zero,APOSTILA - AULA 3,material,3,nao_iniciado,72,
64,MikroTik Pratico,Curso MikroTik do Zero,3 - VLANS E IPV6,aula,3,nao_iniciado,73,
65,MikroTik Pratico,Curso MikroTik do Zero,APOSTILA - AULA 4,material,3,nao_iniciado,74,
66,MikroTik Pratico,Curso MikroTik do Zero,4 - VPNS E WI-FI,aula,3,nao_iniciado,75,
67,MikroTik Pratico,Curso MikroTik do Zero,ÚLTIMO PASSO!!,formulario,3,nao_iniciado,76,
68,Roteamento e VLANs,Curso Roteamento e VLANs,APOSTILA AULA 1,material,3,nao_iniciado,77,
69,Roteamento e VLANs,Curso Roteamento e VLANs,01 - CONFIGURAÇÃO INICIAL DE MIKROTIK HUAWEI E CISCO,aula,3,nao_iniciado,78,
70,Roteamento e VLANs,Curso Roteamento e VLANs,APOSTILA AULA 2,material,3,nao_iniciado,79,
71,Roteamento e VLANs,Curso Roteamento e VLANs,02 - CONFIGURAÇÃO DE VLANS,aula,3,nao_iniciado,80,
72,Roteamento e VLANs,Curso Roteamento e VLANs,APOSTILA AULA 3,material,3,nao_iniciado,81,
73,Roteamento e VLANs,Curso Roteamento e VLANs,03 - ROTEAMENTO ESTÁTICO,aula,3,nao_iniciado,82,
74,Roteamento e VLANs,Curso Roteamento e VLANs,APOSTILA AULA 4,material,3,nao_iniciado,83,
75,Roteamento e VLANs,Curso Roteamento e VLANs,04 - ROTEAMENTO DINAMICO COM OSPF,aula,3,nao_iniciado,84,
76,Switching,010 - Switches MikroTik,AULA DE SWITCHES MIKROTIK,aula,3,nao_iniciado,85,
77,Switching,010 - Switches MikroTik,QUIZ - 001 SWITCHES MIKROTIK DO ZERO,quiz,3,nao_iniciado,86,
78,IPv6,016 - IPv6 do Zero,1 - INTRODUÇÃO,aula,4,nao_iniciado,98,Depois de IPv4 estar firme
79,IPv6,016 - IPv6 do Zero,QUIZ - AULA 01,quiz,4,nao_iniciado,99,
80,IPv6,016 - IPv6 do Zero,2 - MÁSCARA DE REDE E ENTREGA DE ENDEREÇO IPV6,aula,4,nao_iniciado,100,
81,IPv6,016 - IPv6 do Zero,QUIZ - AULA 02,quiz,4,nao_iniciado,101,
82,IPv6,016 - IPv6 do Zero,3 - TIPOS DE ENDEREÇOS IPV6,aula,4,nao_iniciado,102,
83,IPv6,016 - IPv6 do Zero,QUIZ - AULA 03,quiz,4,nao_iniciado,103,
